file_path,language,extension,loc,size_bytes
docs/conf.py,Python,.py,101,3487
tests/conftest.py,Python,.py,112,2658
tests/test_appctx.py,Python,.py,265,7092
tests/test_async.py,Python,.py,145,3480
tests/test_basic.py,Python,.py,1974,56247
tests/test_blueprints.py,Python,.py,1115,32402
tests/test_cli.py,Python,.py,703,21006
tests/test_config.py,Python,.py,250,7998
tests/test_converters.py,Python,.py,42,1135
tests/test_helpers.py,Python,.py,377,11595
tests/test_instance_config.py,Python,.py,111,3428
tests/test_json.py,Python,.py,346,9087
tests/test_json_tag.py,Python,.py,86,2084
tests/test_logging.py,Python,.py,98,2627
tests/test_regression.py,Python,.py,30,742
tests/test_reqctx.py,Python,.py,249,6945
tests/test_request.py,Python,.py,70,1972
tests/test_session_interface.py,Python,.py,28,812
tests/test_signals.py,Python,.py,181,5045
tests/test_subclassing.py,Python,.py,21,501
tests/test_templating.py,Python,.py,532,15935
tests/test_testing.py,Python,.py,398,10961
tests/test_user_error_handler.py,Python,.py,295,8731
tests/test_views.py,Python,.py,271,7329
tests/type_check/typing_app_decorators.py,Python,.py,32,621
tests/type_check/typing_error_handler.py,Python,.py,33,680
tests/type_check/typing_route.py,Python,.py,112,2644
tests/test_apps/blueprintapp/__init__.py,Python,.py,9,265
tests/test_apps/cliapp/app.py,Python,.py,3,55
tests/test_apps/cliapp/factory.py,Python,.py,13,182
tests/test_apps/cliapp/importerrorapp.py,Python,.py,5,78
tests/test_apps/cliapp/multiapp.py,Python,.py,4,71
tests/test_apps/cliapp/__init__.py,Python,.py,0,0
tests/test_apps/helloworld/hello.py,Python,.py,8,112
tests/test_apps/helloworld/wsgi.py,Python,.py,1,37
tests/test_apps/subdomaintestmodule/__init__.py,Python,.py,3,76
tests/test_apps/cliapp/inner1/__init__.py,Python,.py,3,58
tests/test_apps/cliapp/inner1/inner2/flask.py,Python,.py,3,50
tests/test_apps/cliapp/inner1/inner2/__init__.py,Python,.py,0,0
tests/test_apps/blueprintapp/apps/__init__.py,Python,.py,0,0
tests/test_apps/blueprintapp/apps/admin/__init__.py,Python,.py,20,386
tests/test_apps/blueprintapp/apps/frontend/__init__.py,Python,.py,14,341
src/flask/app.py,Python,.py,1628,67100
src/flask/blueprints.py,Python,.py,128,4669
src/flask/cli.py,Python,.py,1127,37963
src/flask/config.py,Python,.py,367,13586
src/flask/ctx.py,Python,.py,540,18801
src/flask/debughelpers.py,Python,.py,179,6249
src/flask/globals.py,Python,.py,77,2491
src/flask/helpers.py,Python,.py,682,25310
src/flask/logging.py,Python,.py,79,2456
src/flask/sessions.py,Python,.py,385,15354
src/flask/signals.py,Python,.py,17,767
src/flask/templating.py,Python,.py,212,7548
src/flask/testing.py,Python,.py,298,10432
src/flask/typing.py,Python,.py,87,3201
src/flask/views.py,Python,.py,191,7162
src/flask/wrappers.py,Python,.py,257,9663
src/flask/__init__.py,Python,.py,39,2111
src/flask/__main__.py,Python,.py,3,33
src/flask/json/provider.py,Python,.py,215,7859
src/flask/json/tag.py,Python,.py,327,9608
src/flask/json/__init__.py,Python,.py,170,5753
src/flask/sansio/app.py,Python,.py,1013,40508
src/flask/sansio/blueprints.py,Python,.py,692,27709
src/flask/sansio/scaffold.py,Python,.py,800,31433
examples/celery/make_celery.py,Python,.py,4,106
examples/tutorial/flaskr/auth.py,Python,.py,116,3412
examples/tutorial/flaskr/blog.py,Python,.py,125,3430
examples/tutorial/flaskr/db.py,Python,.py,56,1373
examples/tutorial/flaskr/__init__.py,Python,.py,48,1454
examples/tutorial/tests/conftest.py,Python,.py,62,1516
examples/tutorial/tests/test_auth.py,Python,.py,69,2139
examples/tutorial/tests/test_blog.py,Python,.py,83,2586
examples/tutorial/tests/test_db.py,Python,.py,29,645
examples/tutorial/tests/test_factory.py,Python,.py,12,310
examples/javascript/js_example/views.py,Python,.py,18,447
examples/javascript/js_example/__init__.py,Python,.py,5,96
examples/javascript/tests/conftest.py,Python,.py,15,231
examples/javascript/tests/test_js_example.py,Python,.py,27,754
examples/celery/src/task_app/tasks.py,Python,.py,23,507
examples/celery/src/task_app/views.py,Python,.py,38,992
examples/celery/src/task_app/__init__.py,Python,.py,39,1063
